Species	Tissue	Cell type	Cell marker	Marker grade
Arabidopsis thaliana	Root	Atrichoblast	AT1G01560	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G01720	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G01730	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G01750	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G02230	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G02360	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G03870	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G04040	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G04047	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G04180	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G04250	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G04680	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G05300	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G05530	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G05560	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G05650	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G05660	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G05850	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G06120	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G07175	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G08200	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G08500	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G08890	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G09794	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G10560	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G10690	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G10810	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G10990	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G11000	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G11260	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G11310	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G11545	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G12110	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G12240	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G13000	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G13260	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G13520	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G13590	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G13950	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G14080	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G14220	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G14240	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G14780	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G14960	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G15180	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G15670	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G16150	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G16160	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G17060	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G17140	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G17190	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G17300	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G17360	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G17620	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G17745	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G17860	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G18990	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G19180	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G19190	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G19835	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G19870	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G20010	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G20260	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G20970	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G21310	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G21910	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G22330	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G22640	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G23060	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G23190	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G23480	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G23710	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G23720	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G25275	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G25450	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G26960	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G28130	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G28480	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G29025	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G29890	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G30690	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G30730	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G31540	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G32170	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G32690	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G33240	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G33610	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G41830	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G44608	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G44830	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G45015	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G47480	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G48330	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G49030	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G49240	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G49310	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G51260	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G51790	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G51800	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G51850	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G52910	Marker #2
